book_title,author,average_rating,rating_count,review_count,number_of_page,first_publish_year,editions,format,language,ISBN,link
Algorithms to Live By: The Computer Science of Human Decisions,"['Brian Christian', 'Tom  Griffiths']",4.14,965,12,368,2016,46,Hardcover,English,ISBN1627790365(ISBN13:9781627790369),https://www.goodreads.com/book/show/25666050-algorithms-to-live-by?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1
Concrete Mathematics: A Foundation for Computer Science,"['Ronald L. Graham', 'Donald Ervin Knuth', 'Oren Patashnik']",4.33,766,27,672,1988,11,Hardcover,English,ISBN0201558025(ISBN13:9780201558029),https://www.goodreads.com/book/show/112243.Concrete_Mathematics?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=3
Computer Science With C++ Concepts File Handling Data Structures - Vol. I and II,Sumita Arora,4.11,554,26,854,,1,Paperback,,ISBN8177000241(ISBN13:9788177000245),https://www.goodreads.com/book/show/25449409-computer-science-with-c-concepts-file-handling-data-structures---vol?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=4
Computer Science with C++ for Class XI,Sumita Arora,4.06,528,27,,2009,1,Paperback,,ISBN817700025X(ISBN13:9788177000252),https://www.goodreads.com/book/show/26848002-computer-science-with-c-for-class-xi?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=5
Computer Science With Python (textbook XII),Sumita Arora,3.73,479,48,,,1,Paperback,,ISBN8177001299(ISBN13:9788177001297),https://www.goodreads.com/book/show/36044968-computer-science-with-python?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=6
Computer Science with Python - CBSE XI: Textbook for CBSE Class 11,Preeti Arora,3.97,314,40,424,,1,Paperback,,ISBN9387907414(ISBN13:9789387907416),https://www.goodreads.com/book/show/45171727-computer-science-with-python---cbse-xi?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=7
Computer Science Distilled: Learn the Art of Solving Computational Problems,"['Wladston Ferreira Filho', 'Raimondo Pictet']",4.09,711,98,,,4,Hardcover,,ISBN0997316004(ISBN13:9780997316001),https://www.goodreads.com/book/show/34189798-computer-science-distilled?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=8
Computer Science with Python: Textbook for CBSE Class 12,Preeti Arora,3.86,189,25,464,,1,Paperback,,ISBN9387907961(ISBN13:9789387907966),https://www.goodreads.com/book/show/45452174-computer-science-with-python?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=9
Computer Science with Python for Class 12 (2019-2020 Examination),Sumita Arora,3.92,216,29,550,,1,Paperback,,ISBN8177002368(ISBN13:9788177002362),https://www.goodreads.com/book/show/44767102-computer-science-with-python-for-class-12?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=10
Software Engineering (International Computer Science Series),Ian Sommerville,3.76,841,32,759,1982,45,Hardcover,English,ISBN0321210263(ISBN13:9780321210265),https://www.goodreads.com/book/show/103569.Software_Engineering?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=11
Discrete Mathematical Structures with Applications to Computer Science,"['Jean-Paul Tremblay', 'R. Manohar']",3.84,147,9,606,1975,2,Unknown Binding,English,ISBN0070651426(ISBN13:9780070651425),https://www.goodreads.com/book/show/115141.Discrete_Mathematical_Structures_with_Applications_to_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=12
Systems Programming (McGraw-Hill computer science series),John J. Donovan,3.8,159,7,480,1972,4,Hardcover,English,ISBN0070176035(ISBN13:9780070176034),https://www.goodreads.com/book/show/10377980-systems-programming?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=13
The New Turing Omnibus: 66 Excursions In Computer Science,A.K. Dewdney,3.88,313,17,480,1989,4,Paperback,English,ISBN0716782715(ISBN13:9780716782711),https://www.goodreads.com/book/show/964709.The_New_Turing_Omnibus?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=14
Graph Theory With Applications To Engineering And Computer Science,Narsingh Deo,4.05,128,8,478,2004,2,Paperback,English,ISBN8120301455(ISBN13:9788120301450),https://www.goodreads.com/book/show/8173654-graph-theory-with-applications-to-engineering-and-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=15
Computer Science: A Structured Approach Using C++,"['Behrouz A. Forouzan', 'Richard F. Gilberg']",3.93,127,10,1022,1999,4,Paperback,English,ISBN0534374808(ISBN13:9780534374808),https://www.goodreads.com/book/show/688415.Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=16
Python Programming: An Introduction to Computer Science,John Zelle,4.02,430,29,517,2003,15,Paperback,English,ISBN1590280288(ISBN13:9781887902991),https://www.goodreads.com/book/show/80440.Python_Programming?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=17
"Theory Of Computer Science: Automata, Languages And Computation","['K.L.P. Mishra', 'Nagasubramaniyan Chandrasekaran']",3.97,70,7,,,1,,,ISBN8120329686(ISBN13:9788120329683),https://www.goodreads.com/book/show/4290612-theory-of-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=18
Mathematics for Computer Science,"['Eric Lehman', 'F. Thomson Leighton', 'Albert R. Meyer']",3.85,73,10,1048,2010,6,ebook,English,,https://www.goodreads.com/book/show/12836498-mathematics-for-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=19
Turing's Vision: The Birth of Computer Science,Chris Bernhardt,4.27,171,28,208,2016,7,Hardcover,,ISBN0262034549(ISBN13:9780262034548),https://www.goodreads.com/book/show/27310514-turing-s-vision?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=20
"Probability and Statistics with Reliability, Queuing, and Computer Science Applications",Kishor S. Trivedi,4.04,24,3,624,1982,6,Hardcover,English,ISBN0137115644(ISBN13:9780137115648),https://www.goodreads.com/book/show/3606849-probability-and-statistics-with-reliability-queuing-and-computer-scien?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=42
ISC COMPUTER SCIENCE WITH JAVA : A TEXTBOOK FOR CLASS-XI,Sumita Arora,3.96,25,6,,,1,Paperback,,ISBN0125988877(ISBN13:9780125988872),https://www.goodreads.com/book/show/45153674-isc-computer-science-with-java?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=44
A Machine Made This Book: Ten Sketches of Computer Science,John Whitington,3.29,7,4,204,,2,Paperback,English,ISBN0957671121(ISBN13:9780957671126),https://www.goodreads.com/book/show/29389102-a-machine-made-this-book?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=45
Handbook of Computer Science & IT,Arihant Experts,3.88,33,2,416,,3,Paperback,,ISBN9350944308,https://www.goodreads.com/book/show/25794837-handbook-of-computer-science-it?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=46
Everything You Need to Ace Computer Science and Coding in One Big Fat Notebook: The Complete Middle School Study Guide (Big Fat Notebooks),Grant Smith,4.58,57,8,576,,3,Paperback,,ISBN1523502770(ISBN13:9781523502776),https://www.goodreads.com/book/show/52126188-everything-you-need-to-ace-computer-science-and-coding-in-one-big-fat-no?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=47
Computer Science,C.S. French,4.08,37,12,750,,5,Hardcover,English,ISBN0905435834(ISBN13:9780905435831),https://www.goodreads.com/book/show/7893892-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=48
Practical Programming: An Introduction to Computer Science Using Python,"['Jennifer   Campbell', 'Paul Gries', 'Jason Montojo', 'Greg Wilson']",3.75,72,11,350,2009,4,Paperback,English,ISBN1934356271(ISBN13:9781934356272),https://www.goodreads.com/book/show/5810371-practical-programming?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=49
Mathematical Structures for Computer Science,Judith L. Gersting,4.04,49,3,784,1982,9,Hardcover,English,ISBN071676864X(ISBN13:9780716768647),https://www.goodreads.com/book/show/115115.Mathematical_Structures_for_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=50
Logic in Computer Science: Modelling and Reasoning about Systems,"['Michael  Huth', 'Mark Ryan']",3.91,66,7,447,1999,10,Paperback,English,ISBN052154310X(ISBN13:9780521543101),https://www.goodreads.com/book/show/151847.Logic_in_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=51
New Understanding Computer Science for Advanced Level,Ray Bradley,3.93,28,3,752,1997,2,Hardcover,English,ISBN0748740465(ISBN13:9780748740468),https://www.goodreads.com/book/show/601566.New_Understanding_Computer_Science_for_Advanced_Level?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=52
A Programmer's Guide to Computer Science: A virtual degree for the self-taught developer,"['William M. Springer II', 'Brit Springer', 'Nicholas Allgood']",3.64,28,2,190,,4,Kindle Edition,,,https://www.goodreads.com/book/show/51185374-a-programmer-s-guide-to-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=53
Lauren Ipsum: A Story about Computer Science and Other Improbable Things,Carlos Bueno,3.9,678,138,192,2011,15,Paperback,,ISBN1593275749(ISBN13:9781593275747),https://www.goodreads.com/book/show/21929386-lauren-ipsum?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=54
Computer Science With C++ - CBSE XII - Vol. 1: A Textbook for CBSE Class XII (2018-19 Session),"['Preeti Arora', 'Pinky Gupta']",4.22,23,1,,,1,Paperback,,ISBN8183505996(ISBN13:9788183505994),https://www.goodreads.com/book/show/41449288-computer-science-with-c---cbse-xii---vol-1?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=55
Objective Computer Science and Information Technology For Competitive Examinations,Jushta Jaiswal,4.06,18,0,600,,1,Paperback,,ISBN8130910314(ISBN13:9788130910314),https://www.goodreads.com/book/show/34907632-objective-computer-science-and-information-technology-for-competitive-ex?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=56
"Hacking: Beginner to Expert Guide to Computer Hacking, Basic Security, and Penetration Testing (Computer Science Series)",James       Patterson,3.6,42,4,92,,1,Kindle Edition,English,,https://www.goodreads.com/book/show/30837614-hacking?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=58
Computer Science Illuminated,"['Nell B. Dale', 'John   Lewis']",3.52,98,4,636,2002,22,Paperback,English,ISBN0763741493(ISBN13:9780763741495),https://www.goodreads.com/book/show/38626.Computer_Science_Illuminated?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=59
"HACKING: Beginner's Crash Course - Essential Guide to Practical: Computer Hacking, Hacking for Beginners, & Penetration Testing (Computer Systems, Computer Programming, Computer Science Book 1)",Joshua R. Stone,3.73,40,2,57,,1,Kindle Edition,English,,https://www.goodreads.com/book/show/28510381-hacking?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=62
Cambridge IGCSE Computer Science Coursebook,"['Sarah Lawrey', 'Donald Scott']",3.45,11,2,232,2015,1,Paperback,,ISBN1107518695(ISBN13:9781107518698),https://www.goodreads.com/book/show/26269859-cambridge-igcse-computer-science-coursebook?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=63
Languages and Machines: An Introduction to the Theory of Computer Science,Thomas A. Sudkamp,3.58,50,1,654,1988,6,Paperback,English,ISBN0321322215(ISBN13:9780321322210),https://www.goodreads.com/book/show/573116.Languages_and_Machines?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=64
"Digital Evidence and Computer Crime: Forensic Science, Computers and the Internet",Eoghan Casey,3.87,107,8,690,1999,12,Hardcover,English,ISBN0121631044(ISBN13:9780121631048),https://www.goodreads.com/book/show/1032722.Digital_Evidence_and_Computer_Crime?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=65
Computer Science with C++ - CBSE XI,"['Preeti Arora', 'Pinky Gupta']",4.06,16,1,,,1,Paperback,,ISBN8183506283(ISBN13:9788183506281),https://www.goodreads.com/book/show/36050167-computer-science-with-c---cbse-xi?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=66
An Invitation to Computer Science,"['G. Michael Schneider', 'Judith L. Gersting', 'Keith Miller']",3.48,65,7,744,1995,14,Paperback,English,ISBN0324788592(ISBN13:9780324788594),https://www.goodreads.com/book/show/6674644-an-invitation-to-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=67
UGC NET COMPUTER SCIENCE SUBJECT WISE SOLVED PAPERS WITH EXPLANATION: 16 Subject wise explanatory solved papers of last 14 years 2004-2017,Veenu Saini,3.69,16,0,,,1,Kindle Edition,,,https://www.goodreads.com/book/show/34614093-ugc-net-computer-science-subject-wise-solved-papers-with-explanation?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=68
Theory Of Computer Science,"['K.L.P. Mishra', 'N. Chandrashekaran']",4.08,26,1,,,1,,,ISBN8120312716(ISBN13:9788120312715),https://www.goodreads.com/book/show/4326120-theory-of-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=69
Technical Aptitude for Interviews: Computer Science and IT,Ela Kashyap Sharma,4.85,13,1,456,2014,1,Paperback,English,ISBN139788120350496,https://www.goodreads.com/book/show/25778885-technical-aptitude-for-interviews?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=70
GATE AND PGECET For Computer Science and Information Technology,Ramaiah K. Dasaradh,4.22,9,0,568,2014,1,Paperback,English,ISBN139788120349810,https://www.goodreads.com/book/show/25574107-gate-and-pgecet-for-computer-science-and-information-technology?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=71
Cambridge IGCSE Computer Science Revision Guide,"['David        Watson', 'Helen Williams']",3.91,11,1,224,2015,1,Paperback,,ISBN1107696348(ISBN13:9781107696341),https://www.goodreads.com/book/show/26406856-cambridge-igcse-computer-science-revision-guide?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=72
Understanding I.S.C. Computer Science Class - XI,"['V.K. Pandey', 'D.K. Dey']",2.93,14,1,,,1,Paperback,,ISBN8182964199(ISBN13:9788182964198),https://www.goodreads.com/book/show/34517825-understanding-i-s-c-computer-science-class---xi?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=73
Computer Science With Java A Text Book for XII,Sumita Arora,2.82,11,0,,,1,Paperback,,ISBN8177001841(ISBN13:9788177001846),https://www.goodreads.com/book/show/44449031-computer-science-with-java-a-text-book-for-xii?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=75
Computer Science: An Interdisciplinary Approach,"['Robert Sedgewick', 'Kevin Wayne']",4.75,20,1,1168,2016,6,Hardcover,,ISBN0134076427(ISBN13:9780134076423),https://www.goodreads.com/book/show/26260896-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=76
Godman,Cit Computer Science,4.25,4,0,256,1985,1,Hardcover,English,ISBN0521262070(ISBN13:9780521262071),https://www.goodreads.com/book/show/4777551-godman?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=77
Instructor's Manual To Accompany Discrete Mathematical Structures With Applications To Computer Science,Jean-Paul Tremblay,3.46,13,0,0,1976,1,Unknown Binding,,ISBN0070651442(ISBN13:9780070651449),https://www.goodreads.com/book/show/115145.Instructor_s_Manual_To_Accompany_Discrete_Mathematical_Structures_With_Applications_To_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=78
Solution Manual to Discrete Mathematics from Computer Science,"['Romualdas Skvarcius', 'William B. Robinson']",3.88,8,2,448,1986,1,Paperback,,ISBN0805370455(ISBN13:9780805370454),https://www.goodreads.com/book/show/6849429-solution-manual-to-discrete-mathematics-from-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=79
Computer Science Programming Basics in Ruby,"['Ophir Frieder', 'Gideon Frieder', 'David A. Grossman']",3.53,47,12,188,2012,6,Paperback,English,ISBN1449355978(ISBN13:9781449355975),https://www.goodreads.com/book/show/16033571-computer-science-programming-basics-in-ruby?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=80
"The Computer Book: From the Abacus to Artificial Intelligence, 250 Milestones in the History of Computer Science","['Simson Garfinkel', 'Rachel Grunspan']",3.8,25,5,528,,2,Hardcover,,ISBN145492621X(ISBN13:9781454926214),https://www.goodreads.com/book/show/39859660-the-computer-book?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=81
Java: An Introduction to Computer Science and Programming,Walter J. Savitch,3.77,31,2,976,1998,5,Paperback,English,ISBN0131013785(ISBN13:9780131013780),https://www.goodreads.com/book/show/26444.Java?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=83
"Krishnamurthy: Introduct Theory, of Computer Science",E.V. Krishnamurthy,4.0,7,0,211,1985,1,Hardcover,,ISBN038791255X(ISBN13:9780387912554),https://www.goodreads.com/book/show/2689796-krishnamurthy?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=84
Introduction to Computer Science,ITL Education Solutions Limited,4.6,15,2,528,2011,1,Kindle Edition,English,ISBN139789332509245,https://www.goodreads.com/book/show/18911728-introduction-to-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=85
Python Made Simple and Practical: A Step-By-Step Guide To Learn Python Coding and Computer Science From Basic To Advanced Concepts.,James L. Young,2.93,15,0,123,,2,Kindle Edition,,,https://www.goodreads.com/book/show/35100009-python-made-simple-and-practical?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=87
"Intro to Python for Computer Science and Data Science: Learning to Program with Ai, Big Data and the Cloud","['Paul Deitel', 'Harvey Deitel']",3.73,11,2,880,,1,Paperback,,ISBN0135404673(ISBN13:9780135404676),https://www.goodreads.com/book/show/43093093-intro-to-python-for-computer-science-and-data-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=88
Click Start Level 4 Student's Book: Computer Science for Schools,"['Anjna Virmani', 'Shalini Harisukh']",4.89,9,2,128,,1,Paperback,,ISBN1107678358(ISBN13:9781107678354),https://www.goodreads.com/book/show/28373963-click-start-level-4-student-s-book?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=90
Objective Computer Science & Information Technology,Jushta Jaiswal,3.64,11,1,,,1,Unbound,,ISBN8130933659(ISBN13:9788130933658),https://www.goodreads.com/book/show/48500352-objective-computer-science-information-technology?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=91
A Balanced Introduction to Computer Science,David       Reed,3.43,30,5,380,2004,8,Paperback,English,ISBN0136017223(ISBN13:9780136017226),https://www.goodreads.com/book/show/4859015-a-balanced-introduction-to-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=92
It Began with Babbage: The Genesis of Computer Science,Subrata Dasgupta,4.18,11,2,344,2013,4,Hardcover,,ISBN0199309418(ISBN13:9780199309412),https://www.goodreads.com/book/show/18284951-it-began-with-babbage?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=93
"A guide to get a top 50 rank in JEE!: IIT Bombay, Computer Science and Engineering",Aman Goel,4.67,24,0,,,1,Kindle Edition,,,https://www.goodreads.com/book/show/51017148-a-guide-to-get-a-top-50-rank-in-jee?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=94
Computer Science from the Bottom Up,Ian Wienand,3.65,23,1,,2004,1,,English,,https://www.goodreads.com/book/show/21812243-computer-science-from-the-bottom-up?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=95
HTET: PGT Computer Science (Level 3) Exam Guide,RPH Editorial Board,3.92,13,1,544,,1,Paperback,,ISBN9350124467,https://www.goodreads.com/book/show/25943189-htet?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=96
Simply Scheme: Introducing Computer Science,"['Brian Harvey', 'Matthew  Wright']",3.67,24,3,611,1993,4,Hardcover,English,ISBN0262082810(ISBN13:9780262082815),https://www.goodreads.com/book/show/1032518.Simply_Scheme?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=97
Click Start Level 3 Student eBook: Computer Science for Schools,"['Anjana Virmani', 'Shalini Harisukh']",3.93,15,0,84,2016,1,ebook,,ISBN1107537371(ISBN13:9781107537378),https://www.goodreads.com/book/show/24728512-click-start-level-3-student-ebook?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=99
Mathematical Structures For Computer Science: Solutions Manual,Judith L. Gersting,4.33,3,1,,1986,3,,,ISBN0716715031(ISBN13:9780716715030),https://www.goodreads.com/book/show/10788400-mathematical-structures-for-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=101
Computer Science Principles: The Foundational Concepts of Computer Science - For AP® Computer Science Principles,"['Kevin P. Hare', 'Pindar Van Arman']",3.4,10,2,290,,3,Kindle Edition,,,https://www.goodreads.com/book/show/50772954-computer-science-principles?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=102
Mathematical Logic for Computer Science,Mordechai Ben-Ari,3.84,19,1,354,2001,6,Paperback,English,ISBN1852333197(ISBN13:9781852333195),https://www.goodreads.com/book/show/115121.Mathematical_Logic_for_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=103
Geometric Algebra for Computer Science: An Object-Oriented Approach to Geometry,"['Leo Dorst', 'Stephen Mann', 'Daniel Fontijne']",4.06,33,3,626,2007,3,Hardcover,English,ISBN0123694655(ISBN13:9780123694652),https://www.goodreads.com/book/show/223721.Geometric_Algebra_for_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=104
Computer Science and Information Technology: CS & IT for GATE,N.B. Venkateswarlu,4.0,4,0,,2013,1,Paperback,,ISBN1259027201,https://www.goodreads.com/book/show/25345221-computer-science-and-information-technology?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=105
Discrete Mathematics: A Bridge to Computer Science and Advanced Mathematics,Olympia Nicodemi,3.25,8,0,491,1987,1,Hardcover,,ISBN0314285032(ISBN13:9780314285034),https://www.goodreads.com/book/show/3878679-discrete-mathematics?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=107
